Date, Year, Month
1996-08-01,1996,08
1997-11-01,1997,11
1997-11-01,1997,11
1998-08-01,1998,08
1999-05-01,1999,05
1998-01-01,1998,01
1998-09-01,1998,09
1998-08-01,1998,08
1998-07-01,1998,07
1998-12-01,1998,12
1998-10-01,1998,10
1998-06-01,1998,06
1998-05-01,1998,05
1998-04-01,1998,04
1997-12-01,1997,12
1999-10-01,1999,10
1998-06-01,1998,06
1998-07-01,1998,07
1997-04-01,1997,04
1998-10-01,1998,10
1997-12-01,1997,12
1995-11-01,1995,11
1995-10-01,1995,10
1995-05-01,1995,05
1998-01-01,1998,01
1998-12-01,1998,12
1998-12-01,1998,12
1997-04-01,1997,04
1999-03-01,1999,03
1998-02-01,1998,02
1999-01-01,1999,01
1997-12-01,1997,12
1998-10-01,1988,10
1996-05-01,1996,05
1998-12-01,1998,12
1997-12-01,1997,12
1997-09-01,1997,09
1998-07-01,1998,07
1997-11-01,1997,11
1998-10-01,1998,10
1999-06-01,1999,06
1996-03-01,1996,03
1996-11-01,1996,11
1999-12-01,1999,12
1997-12-01,1997,12
1997-11-01,1997,11
1998-11-01,1998,11
1998-11-01,1998,11
1999-11-01,1999,11
1999-10-01,1999,10
1998-09-01,1998,09
1997-09-01,1997,09
1996-09-01,1996,09
1995-09-01,1995,09
1998-08-01,1998,08
1998-07-01,1998,07
1998-06-01,1998,06
1996-06-01,1996,06
1997-06-01,1997,06
1998-06-01,1998,06
1998-06-01,1998,06
1998-06-01,1998,06
1998-05-01,1998,05
1999-05-01,1999,05
1998-05-01,1998,05
1999-03-01,1999,03
1999-02-01,1999,02
1998-02-01,1998,02
1996-02-01,1996,02
1998-01-01,1998,01
1999-01-01,1999,01
